"Sample","Immune_defective_Cold","Myeloid_Treg_Immunosuppressive","Tumor_dedifferentiation_Stromal_remodeling","Melanocytic_Differentiation","Dominant_state"
"Pat5",-0.728202694788381,0.721298859964805,0.633024800346602,-1.46171244426858,"Myeloid_Treg_Immunosuppressive"
"Pat6",-0.226216878153384,-0.0524749307542933,0.638108609285945,0.204057276188602,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat8",1.35642825154498,-1.85626590870081,-0.857998800436734,0.702990425710791,"Immune_defective_Cold"
"Pat9",0.58151213232444,0.20535897642859,-0.808454729441826,0.172575349246121,"Immune_defective_Cold"
"Pat11",-0.342842065362424,0.99633761896403,2.30118215765285,-2.62146560512262,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat13",-0.107711578417281,-0.0112330358283411,1.32338143428245,0.337449383791792,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat14",-0.77129934468034,0.343855969895536,0.748128599318469,0.539799928263311,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat15",2.34082989849091,-1.76685599088684,-0.820970590126926,0.798756358659364,"Immune_defective_Cold"
"Pat16",-1.13160149691608,0.684116814040932,-0.38907399676524,-0.858811205861886,"Myeloid_Treg_Immunosuppressive"
"Pat17",0.295178733397658,-0.486469593548032,-0.396225828854629,0.580431716507969,"Melanocytic_Differentiation"
"Pat18",-0.465932956427126,0.398779592284951,-0.49407479998086,-0.140244695120119,"Myeloid_Treg_Immunosuppressive"
"Pat19",0.834640256513407,-0.490689038380617,0.63244511539567,0.241993791911132,"Immune_defective_Cold"
"Pat20",-0.535365290082336,1.26290369894617,0.722041663303846,-1.99110008489305,"Myeloid_Treg_Immunosuppressive"
"Pat21",-0.89004780856102,0.96583471660933,0.708378932572236,0.226702167790297,"Myeloid_Treg_Immunosuppressive"
"Pat22",-0.371732934965819,0.328803314678811,0.639596834222631,0.386008623787114,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat23",-1.11799565884323,-0.286641486225008,-0.188858221922032,0.77922713752949,"Melanocytic_Differentiation"
"Pat25",-0.709550250221773,1.49191205894062,0.923714003109531,-1.86510176942223,"Myeloid_Treg_Immunosuppressive"
"Pat26",0.169142171540565,0.518001646581794,-0.14601380003384,0.584121696027059,"Melanocytic_Differentiation"
"Pat27",0.16250128772233,0.182772973940773,-1.70737079141591,0.381203219045351,"Melanocytic_Differentiation"
"Pat28",-0.674653171959885,1.25114550989184,-0.200786838077347,-0.720093895780937,"Myeloid_Treg_Immunosuppressive"
"Pat29",1.22930763141045,-1.65224004844425,-1.56398968648222,0.702583059733385,"Immune_defective_Cold"
"Pat30",-1.34376352976022,1.02130790740539,-0.374210078394152,0.822289142756866,"Myeloid_Treg_Immunosuppressive"
"Pat31",-0.937636585731678,1.42901671127762,1.34048607640634,-1.8823363890647,"Myeloid_Treg_Immunosuppressive"
"Pat32",0.080430088202003,-0.739526144479939,-1.23818107681418,0.636226742542868,"Melanocytic_Differentiation"
"Pat33",-0.51763090533701,-0.332745720279772,-0.971256135377962,1.00815671529626,"Melanocytic_Differentiation"
"Pat34",1.78589792653291,-1.24476150155907,0.0271218372175914,0.670331663831867,"Immune_defective_Cold"
"Pat35",-0.269839720163875,0.892587741878337,0.870867050359992,-1.84610606893638,"Myeloid_Treg_Immunosuppressive"
"Pat36",1.66033880131814,-0.529656669877189,0.166648925777985,-0.56887639289307,"Immune_defective_Cold"
"Pat37",-0.0316319609552945,-0.298903910998617,-0.885045979842813,0.905224790855703,"Melanocytic_Differentiation"
"Pat39",1.73392064134745,-1.54538353399282,-0.677484376562898,0.655023250306381,"Immune_defective_Cold"
"Pat40",-0.9099770069407,0.270758685212588,0.178599171254693,0.845567096248758,"Melanocytic_Differentiation"
"Pat41",-0.637318572701562,0.402930224265896,0.550062496818591,0.608574359080648,"Melanocytic_Differentiation"
"Pat42",-0.540461364845129,-0.098219795462029,0.353159595532859,0.68210166993331,"Melanocytic_Differentiation"
"Pat43",-0.684148778907284,0.312983192164482,0.639554489561364,-1.29862467742795,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat44",0.748083133755215,-1.56466977762238,1.07573527966237,0.705783900733664,"Tumor_dedifferentiation_Stromal_remodeling"
"Pat45",0.420058001128441,-0.301138608330823,-1.91715953304717,0.397561513758713,"Immune_defective_Cold"
"Pat46",2.01065669870264,-0.417290382768298,2.00241340643685,-0.464144640424768,"Immune_defective_Cold"
"Pat47",-0.231282529635681,-0.341256665316973,-0.706049863783679,0.857207529378094,"Melanocytic_Differentiation"
"Pat48",-1.13667147639133,0.84229525885145,-9.08612143312669e-05,-1.20257874338577,"Myeloid_Treg_Immunosuppressive"
"Pat49",0.0609228810512443,-0.236087118263797,-0.0903725375973421,0.821236391330681,"Melanocytic_Differentiation"
"Pat50",-0.156333974233915,-0.270491610504039,-2.04098195234677,0.668011712356477,"Melanocytic_Differentiation"
