"Sample","Antigen_presentation_score","IFN_response_score","Cytotoxic_T_cell_score","Myeloid_inflammatory_score","Treg_immunoregulatory_score","Tumor_plasticity_dedifferentiation_score","Melanocytic_differentiation_score"
"Pat5",3.14647287407662,2.68422135074335,2.6467239729934,2.23825099538328,1.6210980751175,2.16855440825931,1.31546691174412
"Pat6",3.01954297704104,2.42944308126963,2.55620923873181,1.78339824982085,1.47735821121093,2.16959161272429,2.76356338238841
"Pat8",2.99259218590519,1.82412871004173,0.831937839335048,1.08900164212952,0.749468346080361,1.86435408236757,3.19729880454042
"Pat9",2.84009814399232,2.35832503728526,1.72910331547789,1.9824183920621,1.47431408067536,1.87446211991623,2.73619533341104
"Pat11",3.06972659226113,2.48743835238618,2.51935235574111,2.68142866452325,1.37002019779363,2.50889376403118,0.307263653858998
"Pat13",3.06272750793805,2.51169861676432,2.06645445333467,2.21963240603607,1.04277623859091,2.30940175159745,2.87952457309787
"Pat14",3.20263361127053,2.70907941210482,2.51780599787915,2.0571988047781,1.50716223757274,2.19203801585628,3.05543310696277
"Pat15",2.50597092610149,1.62818928060744,0.797793939247836,1.38739529333207,0.502190585498411,1.87190861982594,3.28055059367291
"Pat16",3.23190855667075,2.84385818576244,2.84866142263399,2.0504727049288,1.79229593421455,1.96002465258567,1.83958446818774
"Pat17",2.89816625777863,2.39465156429385,2.01839304056704,1.78349468093001,1.12278234855524,1.95856552769243,3.09075536575428
"Pat18",3.08647009231814,2.65521341348987,2.39384403069296,2.356240600136,1.23102148470251,1.93860226963995,2.46425282141172
"Pat19",2.86839684821933,2.17262718268999,1.51860862623815,1.89268357637565,1.00212937452953,2.16843614027824,2.79654257143938
"Pat20",3.08331639635553,2.62271115607175,2.58830806428095,2.57655394034267,1.70031818201794,2.18671572958731,0.855256617021855
"Pat21",3.12948466125891,2.76094404932608,2.85367203168863,2.31261244738434,1.74100496022662,2.18392824376955,2.78324916920745
"Pat22",3.13531351682815,2.49815892559396,2.36256588111843,2.0204937121461,1.53426809115707,2.16989524206356,2.92173836963339
"Pat23",3.36440125831325,2.80486844131933,2.50955155959144,1.69505876982104,1.38092506434055,2.00087290201913,3.263573339347
"Pat25",3.19941299545503,2.63119782225472,2.55443952400876,2.43687655967413,2.03729850164625,2.22786114905619,0.964790194022134
"Pat26",2.95771579138085,2.41996121859671,2.03035486642106,2.22038810705165,1.47422626497407,2.00961406955946,3.09396315987656
"Pat27",2.9249614266724,2.42271381407826,2.1325633700522,2.14374363901047,1.28269517443183,1.69106424555786,2.91756090767024
"Pat28",3.11735048689009,2.62754405086259,2.73534022423398,2.73728395729705,1.51818201020385,1.99843921222376,1.96017499440427
"Pat29",2.71075435785152,2.03275547981695,1.50655578444839,1.3350942536162,0.65194658300875,1.72031702118437,3.19694467081659
"Pat30",3.35165671203356,2.90542561956944,2.77809351885147,2.42725623873748,1.66325148726649,1.96305720606782,3.30100824827998
"Pat31",3.18039908616045,2.81302394499275,2.69921260686777,2.7313129554236,1.66987072335052,2.31289146008068,0.949807695798847
"Pat32",3.09256435748896,2.36814141040138,1.89441561826079,1.66760881617793,1.04048960903041,1.78678886320436,3.13925941723774
"Pat33",3.13062229254899,2.63957148403956,2.38833408993318,1.64691553870301,1.3949470698645,1.84124719245607,3.46258771061265
"Pat34",2.49537179493599,1.91527231456867,1.32592680705759,1.70732516197311,0.585197507628127,2.04493739861186,3.16890770267821
"Pat35",3.01498641808507,2.52634866162365,2.47480206561266,2.21772177674134,1.78303780095536,2.2170792538264,0.981303645127141
"Pat36",2.66366973387742,1.85905277980788,1.16817424049494,2.1646754418853,0.678337595474351,2.07340387344733,2.09163225980076
"Pat37",2.99334335193865,2.43077121620621,2.27434179999438,1.6774601199872,1.38980044974289,1.85883588615293,3.37310634072793
"Pat39",2.59379921064286,1.94214091838275,1.08699106383888,1.48857457721799,0.574472981518399,1.90118283983441,3.15559970498491
"Pat40",3.23711544496189,2.68124544918503,2.72118819928074,1.76882189228534,1.75701134109263,2.07584197608138,3.32124437208596
"Pat41",3.16550674623852,2.67567679438603,2.44083588612314,2.04882291746019,1.56440304771161,2.15162834501209,3.11522048892444
"Pat42",3.11519278631256,2.68687945352223,2.38970626925645,2.0502851268215,1.15351086385721,2.11145599179872,3.17913967177072
"Pat43",3.1357535468158,2.63717717001009,2.68196756835748,1.89366083862771,1.65749299689706,2.16988660285774,1.45724330296244
"Pat44",3.06442155683129,2.13121631493731,1.1825222033108,1.48849677229346,0.558804139807047,2.25887670229462,3.19972724424116
"Pat45",2.7394769375801,2.46675199187957,2.12094300467707,1.94692808423437,1.09872013706458,1.64826290858431,2.93178159408882
"Pat46",2.75326830859517,1.54450159847612,0.834069837254257,2.05511628484061,0.887718749551337,2.44793862459648,2.18267826649136
"Pat47",3.08836575891459,2.50426951958651,2.23118929739831,1.59290689038741,1.44597013544618,1.89535487673761,3.3313637000605
"Pat48",3.22108524363987,2.88968204148087,2.80689293005817,2.13176427120065,1.83422997372754,2.03938543301786,1.54073850424875
"Pat49",2.98418000421349,2.56945900026239,1.88235416400743,2.08977457813821,0.998516262772155,2.02096606302041,3.30009306438271
"Pat50",3.0396583230286,2.48730119956931,2.26610024893902,1.95152067710603,1.11882175316912,1.62300051818093,3.16689090917889
