"Package","Version"
"igraph","2.3.3"
"igraphdata","1.0.1"
"infercnv","1.26.0"
"ini","0.3.1"
"inline","0.3.21"
"ipred","0.9-15"
"IRanges","2.44.0"
"IRdisplay","1.1"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"janitor","2.2.1"
"jomo","2.7-6"
"jose","2.0.0"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"juicyjuice","0.1.0"
"KEGGREST","1.50.0"
"kernlab","0.9-33"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"labelled","2.16.1"
"laeken","0.5.3"
"Lahman","14.0-0"
"lambda.r","1.2.4"
"later","1.4.8"
"lattice","0.22-7"
"lava","1.9.3"
"lazyeval","0.2.3"
"lgr","0.5.2"
"libcoin","1.0-13"
"lifecycle","1.0.5"
"limma","3.66.0"
"listenv","1.0.0"
"litedown","0.10"
"lme4","2.0-6"
"lmtest","0.9-40"
"lobstr","1.2.1"
"locfit","1.5-9.12"
"logistf","1.26.1"
"lsoda","1.2"
"lubridate","1.9.5"
"magick","2.9.1"
"magrittr","2.0.4"
"mapproj","1.2.12"
"maps","3.4.3"
"markdown","2.0"
"MASS","7.3-65"
"Matrix","1.7-6"
"Matrix","1.7-4"
"MatrixGenerics","1.22.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"maxstat","0.7-26"
"mcmc","0.9-8"
"MCMCpack","1.7-1"
"MCPcounter","1.2.0"
"memoise","2.0.1"
"memuse","4.2-3"
"methods","4.5.2"
"mgcv","1.9-3"
"mice","3.19.0"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"mirai","2.7.2"
"mitml","0.4-5"
"mitools","2.4"
"mixtools","2.0.0.1"
"mlbench","2.1-11"
"mlr3","1.8.0"
"mlr3learners","0.15.1"
"mlr3measures","1.3.0"
"mlr3misc","0.23.0"
"mlr3pipelines","0.11.0"
"mlr3tuning","1.6.1"
"mnormt","2.1.2"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modeltools","0.2-24"
"moocore","0.3.2"
"MRMix","0.1.0"
"MRPRESSO","1.0"
"msigdbr","26.1.1"
"mstate","0.3.3"
"muhaz","1.2.6.5"
"multcomp","1.4-32"
"munsell","0.5.1"
"mvtnorm","1.4-2"
"nanonext","1.10.2"
"network","1.20.0"
"nhanesA","1.4.1"
"nlme","3.1-168"
"nloptr","2.2.1"
"NMF","0.28"
"nnet","7.3-20"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"nycflights13","1.0.2"
"openssl","2.4.2"
"openxlsx","4.2.8.1"
"operator.tools","1.6.3.1"
"ordinal","2026.7-26"
"org.Hs.eg.db","3.22.0"
"org.Mm.eg.db","3.22.0"
"otel","0.2.0"
"packrat","0.9.3"
"pacman","0.5.1"
"pak","0.11.1"
"palmerpenguins","0.1.1"
"pan","2.0"
"pander","0.6.6"
"paradox","1.0.1"
"parallel","4.5.2"
"parallelDist","0.2.7"
"parallelly","1.48.0"
"PASWR","1.3"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbkrtest","0.5.5"
"pdftools","3.9.0"
"pheatmap","1.0.13"
"phyclust","0.1-34"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.2.1"
"pkgKitten","0.2.4"
"pkgload","1.5.3"
"PKI","0.1-15"
"plotly","4.12.1"
"plyr","1.8.9"
"png","0.1-9"
"polspline","1.1.25"
"polyclip","1.10-7"
"polynom","1.4-1"
"praise","1.0.0"
"presto","1.1.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.9.0"
"prodlim","2026.03.11"
"profmem","0.7.0"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","1.0.0"
"promises","1.5.0"
"proxy","0.4-29"
"PRROC","1.4"
"ps","1.9.3"
"psych","2.6.5"
"purrr","1.2.1"
"qpdf","1.4.1"
"quadprog","1.5-8"
"quantreg","6.1"
"quarto","1.5.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.rsp","0.46.0"
"R.utils","2.13.0"
"R6","2.6.1"
"RadialMR","1.2.4"
"ragg","1.5.2"
"randomForest","4.7-1.2"
"ranger","0.18.0"
"RANN","2.6.2"
"rappdirs","0.3.4"
"rbenchmark","1.0.1"
"rbibutils","2.4.1"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.4.2-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.7.0"
"RcppParallel","6.2.0"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.20"
"Rdpack","2.6.6"
"rdtools","0.1.0"
"reactable","0.4.5"
"reactR","0.6.1"
"readr","2.2.0"
"readxl","1.5.0"
"recipes","1.3.3"
"reformulas","0.4.4"
"registry","0.5-1"
"regplot","1.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"rentrez","1.2.4"
"renv","1.2.4"
"repr","1.1.7"
"reprex","2.1.1"
"repurrrsive","1.1.0"
"reshape","0.8.10"
"reshape2","1.4.5"
"ResidualMatrix","1.20.0"
"ResourceSelection","0.3-6"
"restfulr","0.0.17"
"reticulate","1.46.0"
"rex","1.2.2"
"rgl","1.3.36"
"rhdf5","2.54.1"
"rhdf5filters","1.22.0"
"Rhdf5lib","1.32.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","3.6.0"
"rjags","4-17"
"rjson","0.2.23"
"rlang","1.3.0"
"rmarkdown","2.31"
"rmda","1.6"
"Rmpi","0.7-3.4"
"rms","8.1-1"
"rngtools","1.5.2"
"robustbase","0.99-7"
"ROCR","1.0-12"
"roxygen2","8.1.0"
"rpart","4.1.24"
"rprojroot","2.1.1"
"Rsamtools","2.26.0"
"rsconnect","1.10.1"
"RSpectra","0.16-2"
"RSQLite","3.53.3"
"rstatix","1.1.0"
"rstpm2","1.7.1"
"rstudioapi","0.19.0"
"rsvd","1.0.5"
"rsvg","2.7.0"
"rTensor","1.5.0"
"rtracklayer","1.70.1"
"Rtsne","0.17"
"RUnit","0.4.33.1"
"rversions","3.0.0"
"rvest","1.0.5"
"s2","1.1.11"
"S4Arrays","1.10.1"
"S4Vectors","0.48.1"
"S7","0.2.2"
"sandwich","3.1-3"
"sass","0.4.10"
"ScaledMatrix","1.18.0"
"scales","1.4.0"
"scattermore","1.2"
"scRank","1.0.0"
"sctransform","0.4.3"
"scuttle","1.20.0"
"segmented","2.2-1"
"selectr","0.6-0"
"Seqinfo","1.0.0"
"sessioninfo","1.2.4"
"Seurat","5.5.1"
"SeuratObject","5.4.0"
"sf","1.1-2"
"shades","1.5.0"
"shape","1.4.6.1"
"shiny","1.14.0"
"showtext","0.9-8"
"showtextdb","3.0"
"SingleCellExperiment","1.32.0"
"sitmo","2.0.2"
"sm","2.2-6.0"
"sna","2.8"
"snakecase","0.11.1"
"snow","0.4-4"
"snowflakeauth","0.2.2"
"sourcetools","0.1.7-2"
"sp","2.2-3"
"spam","2.11-4"
