"state","gene"
"Melanocytic_Differentiation","MRPL44"
"Melanocytic_Differentiation","MXI1"
"Melanocytic_Differentiation","MYO10"
"Melanocytic_Differentiation","MYO5A"
"Melanocytic_Differentiation","NLGN1"
"Melanocytic_Differentiation","NRBP2"
"Melanocytic_Differentiation","NUFIP1"
"Melanocytic_Differentiation","OR7A5"
"Melanocytic_Differentiation","OSBPL9"
"Melanocytic_Differentiation","OTUD7B"
"Melanocytic_Differentiation","PAX3"
"Melanocytic_Differentiation","PCYT2"
"Melanocytic_Differentiation","PDHA1"
"Melanocytic_Differentiation","PFKFB2"
"Melanocytic_Differentiation","PHLPP1"
"Melanocytic_Differentiation","PMEL"
"Melanocytic_Differentiation","POMT2"
"Melanocytic_Differentiation","PPM1H"
"Melanocytic_Differentiation","PRAME"
"Melanocytic_Differentiation","PYURF"
"Melanocytic_Differentiation","RGS20"
"Melanocytic_Differentiation","S100B"
"Melanocytic_Differentiation","SEMA6A"
"Melanocytic_Differentiation","SGCD"
"Melanocytic_Differentiation","SLC18B1"
"Melanocytic_Differentiation","SLC24A5"
"Melanocytic_Differentiation","SLC3A2"
"Melanocytic_Differentiation","SLC6A8"
"Melanocytic_Differentiation","SNCA"
"Melanocytic_Differentiation","SOCS6"
"Melanocytic_Differentiation","SORT1"
"Melanocytic_Differentiation","SOX10"
"Melanocytic_Differentiation","SOX6"
"Melanocytic_Differentiation","SPAG9"
"Melanocytic_Differentiation","ST3GAL4"
"Melanocytic_Differentiation","ST6GALNAC2"
"Melanocytic_Differentiation","STAM"
"Melanocytic_Differentiation","STK24"
"Melanocytic_Differentiation","STK32A"
"Melanocytic_Differentiation","STX7"
"Melanocytic_Differentiation","SYNGR1"
"Melanocytic_Differentiation","TBC1D14"
"Melanocytic_Differentiation","TEX2"
"Melanocytic_Differentiation","TFAP2A"
"Melanocytic_Differentiation","TMEM117"
"Melanocytic_Differentiation","TRIM63"
"Melanocytic_Differentiation","TUBB4A"
"Melanocytic_Differentiation","TYR"
"Melanocytic_Differentiation","USP27X"
"Melanocytic_Differentiation","USP54"
"Melanocytic_Differentiation","VAT1"
"Melanocytic_Differentiation","VPS25"
"Melanocytic_Differentiation","ZNF526"
"Melanocytic_Differentiation","ZNF704"
"Myeloid_Treg_Immunosuppressive","ACAP1"
"Myeloid_Treg_Immunosuppressive","ADCY7"
"Myeloid_Treg_Immunosuppressive","AIF1"
"Myeloid_Treg_Immunosuppressive","ALOX5"
"Myeloid_Treg_Immunosuppressive","BATF"
"Myeloid_Treg_Immunosuppressive","BIN2"
"Myeloid_Treg_Immunosuppressive","BLNK"
"Myeloid_Treg_Immunosuppressive","C10ORF128"
"Myeloid_Treg_Immunosuppressive","C1ORF162"
"Myeloid_Treg_Immunosuppressive","C1QA"
"Myeloid_Treg_Immunosuppressive","C1QB"
"Myeloid_Treg_Immunosuppressive","C1QC"
"Myeloid_Treg_Immunosuppressive","CCDC69"
"Myeloid_Treg_Immunosuppressive","CCL2"
"Myeloid_Treg_Immunosuppressive","CCL3"
"Myeloid_Treg_Immunosuppressive","CCR2"
"Myeloid_Treg_Immunosuppressive","CCR8"
"Myeloid_Treg_Immunosuppressive","CD14"
"Myeloid_Treg_Immunosuppressive","CD180"
"Myeloid_Treg_Immunosuppressive","CD2"
"Myeloid_Treg_Immunosuppressive","CD247"
"Myeloid_Treg_Immunosuppressive","CD300A"
"Myeloid_Treg_Immunosuppressive","CD300LF"
"Myeloid_Treg_Immunosuppressive","CD3D"
"Myeloid_Treg_Immunosuppressive","CD3G"
"Myeloid_Treg_Immunosuppressive","CD48"
"Myeloid_Treg_Immunosuppressive","CD5"
"Myeloid_Treg_Immunosuppressive","CD52"
"Myeloid_Treg_Immunosuppressive","CD53"
"Myeloid_Treg_Immunosuppressive","CD68"
"Myeloid_Treg_Immunosuppressive","CD96"
"Myeloid_Treg_Immunosuppressive","CSF2RB"
"Myeloid_Treg_Immunosuppressive","CTLA4"
"Myeloid_Treg_Immunosuppressive","CTSC"
"Myeloid_Treg_Immunosuppressive","CXCL8"
"Myeloid_Treg_Immunosuppressive","CXORF21"
"Myeloid_Treg_Immunosuppressive","CYBB"
"Myeloid_Treg_Immunosuppressive","CYTIP"
"Myeloid_Treg_Immunosuppressive","DAPP1"
"Myeloid_Treg_Immunosuppressive","DOK2"
"Myeloid_Treg_Immunosuppressive","DPYD"
"Myeloid_Treg_Immunosuppressive","ENTPD1"
"Myeloid_Treg_Immunosuppressive","FAM107B"
"Myeloid_Treg_Immunosuppressive","FCER1G"
"Myeloid_Treg_Immunosuppressive","FCGR3A"
"Myeloid_Treg_Immunosuppressive","FCN1"
"Myeloid_Treg_Immunosuppressive","FOXP3"
"Myeloid_Treg_Immunosuppressive","GATA3"
"Myeloid_Treg_Immunosuppressive","GIMAP4"
"Myeloid_Treg_Immunosuppressive","GIMAP6"
"Myeloid_Treg_Immunosuppressive","GIMAP7"
"Myeloid_Treg_Immunosuppressive","GPR132"
"Myeloid_Treg_Immunosuppressive","GZMB"
"Myeloid_Treg_Immunosuppressive","HCK"
"Myeloid_Treg_Immunosuppressive","HCST"
"Myeloid_Treg_Immunosuppressive","HK3"
"Myeloid_Treg_Immunosuppressive","IKZF2"
"Myeloid_Treg_Immunosuppressive","IL15RA"
"Myeloid_Treg_Immunosuppressive","IL1B"
"Myeloid_Treg_Immunosuppressive","IL21R"
"Myeloid_Treg_Immunosuppressive","IL2RA"
"Myeloid_Treg_Immunosuppressive","IL2RG"
"Myeloid_Treg_Immunosuppressive","IL32"
"Myeloid_Treg_Immunosuppressive","ITGB2"
"Myeloid_Treg_Immunosuppressive","LAPTM5"
"Myeloid_Treg_Immunosuppressive","LCK"
"Myeloid_Treg_Immunosuppressive","LCP1"
"Myeloid_Treg_Immunosuppressive","LILRB1"
"Myeloid_Treg_Immunosuppressive","LILRB2"
"Myeloid_Treg_Immunosuppressive","LILRB4"
"Myeloid_Treg_Immunosuppressive","LST1"
"Myeloid_Treg_Immunosuppressive","LY75"
"Myeloid_Treg_Immunosuppressive","LYZ"
"Myeloid_Treg_Immunosuppressive","MNDA"
"Myeloid_Treg_Immunosuppressive","MPEG1"
"Myeloid_Treg_Immunosuppressive","MYO1G"
"Myeloid_Treg_Immunosuppressive","NCF2"
"Myeloid_Treg_Immunosuppressive","NCF4"
"Myeloid_Treg_Immunosuppressive","NCKAP1L"
"Myeloid_Treg_Immunosuppressive","NFAM1"
"Myeloid_Treg_Immunosuppressive","PARP12"
"Myeloid_Treg_Immunosuppressive","PDCD1LG2"
"Myeloid_Treg_Immunosuppressive","PIK3AP1"
"Myeloid_Treg_Immunosuppressive","PLEK"
"Myeloid_Treg_Immunosuppressive","PTGER4"
"Myeloid_Treg_Immunosuppressive","PTPN22"
"Myeloid_Treg_Immunosuppressive","PTPN6"
"Myeloid_Treg_Immunosuppressive","PTPN7"
"Myeloid_Treg_Immunosuppressive","PTPRC"
"Myeloid_Treg_Immunosuppressive","RAC2"
"Myeloid_Treg_Immunosuppressive","RASAL3"
"Myeloid_Treg_Immunosuppressive","RBM47"
"Myeloid_Treg_Immunosuppressive","RFTN1"
"Myeloid_Treg_Immunosuppressive","RGL4"
"Myeloid_Treg_Immunosuppressive","S100A8"
"Myeloid_Treg_Immunosuppressive","S100A9"
"Myeloid_Treg_Immunosuppressive","SAMSN1"
"Myeloid_Treg_Immunosuppressive","SASH3"
"Myeloid_Treg_Immunosuppressive","SERPINA1"
"Myeloid_Treg_Immunosuppressive","SIT1"
"Myeloid_Treg_Immunosuppressive","SLAMF8"
