"signature","gene","present"
"Antigen_presentation","B2M",TRUE
"Antigen_presentation","HLA-A",TRUE
"Antigen_presentation","HLA-B",TRUE
"Antigen_presentation","HLA-C",TRUE
"Antigen_presentation","TAP1",TRUE
"Antigen_presentation","TAP2",TRUE
"Antigen_presentation","NLRC5",TRUE
"Antigen_presentation","PSMB8",TRUE
"Antigen_presentation","PSMB9",TRUE
"Antigen_presentation","HLA-E",TRUE
"Antigen_presentation","HLA-DRA",TRUE
