"gene","spearman_rho","p_value","fdr"
"PTGER4",0.835365853658537,1.10153956333334e-11,2.36623192363902e-09
"CD96",0.835191637630662,1.12263255612705e-11,2.36623192363902e-09
"MPEG1",0.835191637630662,1.12263255612705e-11,2.36623192363902e-09
"BLNK",0.835017421602788,1.14410436093863e-11,2.38469485631642e-09
"BATF",0.834531121485012,1.20609847593213e-11,2.48628585824294e-09
"C1QC",0.834320557491289,1.23390815145011e-11,2.51596554489703e-09
"C1orf162",0.834146341463415,1.25737123287136e-11,2.53000208851992e-09
"CCDC69",0.83397212543554,1.28125272354279e-11,2.53000208851992e-09
"CCR2",0.83397212543554,1.28125272354279e-11,2.53000208851992e-09
"GPR132",0.833660003404129,1.32510670866989e-11,2.58934132791025e-09
"TRAF3IP3",0.833101045296167,1.40718376480826e-11,2.72137734474619e-09
"LILRB1",0.832578397212544,1.48822572421991e-11,2.81996225865063e-09
"WAS",0.832578397212544,1.48822572421991e-11,2.81996225865063e-09
"DPYD",0.83205574912892,1.57363395806015e-11,2.95197994192504e-09
"LYN",0.831881533101046,1.60311120390096e-11,2.97750129445327e-09
"MFNG",0.831184668989547,1.72628305393475e-11,3.17483762830999e-09
"SP140",0.830662020905924,1.82443278059811e-11,3.32277034283883e-09
"FLI1",0.829965156794425,1.96346313571458e-11,3.54159663104518e-09
"CCL4",0.829790940766551,1.99974237113925e-11,3.57268258478106e-09
"IL7R",0.829616724738676,2.03665005047382e-11,3.60429417894701e-09
"CD37",0.829094076655052,2.15124604326988e-11,3.77033622928665e-09
"FGD2",0.828919860627178,2.19077055809076e-11,3.77033622928665e-09
"GMFG",0.828919860627178,2.19077055809076e-11,3.77033622928665e-09
"SMCO4",0.828397212543554,2.31347250080574e-11,3.94531187660135e-09
"SPI1",0.828048780487805,2.39882551791039e-11,4.05401512526856e-09
"RHOH",0.827700348432056,2.48712699029106e-11,4.16571564382767e-09
"CCRL2",0.827351916376307,2.57847178382065e-11,4.28049134448598e-09
