"gene","spearman_rho","p_value","fdr"
"ZNF470",-0.637979094076655,7.22486770892114e-06,0.000717096790220379
"NUDT17",-0.637804878048781,7.27963993900328e-06,0.000718730345346118
"ZSCAN26",-0.637630662020906,7.3347930936941e-06,0.00072038420756339
"THAP9",-0.636585365853659,7.67384678409696e-06,0.000738224060630128
"TIMM10B",-0.636411149825784,7.73173436910695e-06,0.000739997984847333
"RPL9",-0.635714285714286,7.96731492428719e-06,0.000755566574376869
"OR7A10",-0.635692003762071,7.97495504699717e-06,0.000755566574376869
"OSER1",-0.635540069686411,8.02723026949083e-06,0.000756697550881299
"RPL7",-0.633623693379791,8.71414456899218e-06,0.000785906913315982
"ZKSCAN4",-0.632926829268293,8.97701482964013e-06,0.000801903910424853
"PLD6",-0.63205574912892,9.31582636748626e-06,0.00082822552998898
"HSD17B8",-0.631010452961673,9.73786377626306e-06,0.000857617777365816
"MRPL44",-0.630662020905923,9.88239245754368e-06,0.000858451681789116
