"gene","spearman_rho","p_value","fdr"
"FAM216A",-0.0898954703832753,0.576199535631555,0.782745100218143
"RAB8A",-0.0898954703832753,0.576199535631555,0.782745100218143
"SRRT",-0.0898954703832753,0.576199535631555,0.782745100218143
"STARD3",-0.0898954703832753,0.576199535631555,0.782745100218143
"ZSWIM4",-0.0898954703832753,0.576199535631555,0.782745100218143
"TPD52L2",-0.0900696864111498,0.575457442875879,0.78247813726029
"ZIC3",-0.0900772608584319,0.575425188512225,0.78247813726029
"TMEM178B",-0.0901089410159384,0.575290293398434,0.78247813726029
"GP5",-0.090121578359991,0.575236487194822,0.78247813726029
"GPR87",-0.0901402412863907,0.57515702996225,0.78247813726029
"ANP32E",-0.0902439024390244,0.574715784367521,0.781975295492154
"FAM69A",-0.0902439024390244,0.574715784367521,0.781975295492154
"HSP90B1",-0.0902439024390244,0.574715784367521,0.781975295492154
"TP53INP1",-0.0902439024390244,0.574715784367521,0.781975295492154
"NKX1-2",-0.0902521166294803,0.574680826304415,0.781975295492154
"KLK7",-0.0903867706067172,0.574107901948399,0.781601722378258
"MYCN",-0.0904220567955576,0.573957809629254,0.781476904069641
"CACNA2D2",-0.0904338748699927,0.573907544600535,0.781476904069641
"ADRB2",-0.0905923344947735,0.573233772486931,0.780808331257794
"CBX7",-0.0905923344947735,0.573233772486931,0.780808331257794
"GSTO1",-0.0905923344947735,0.573233772486931,0.780808331257794
"CRB3",-0.090741784246812,0.572598640997064,0.780227847764605
"ZNF414",-0.0907823676440582,0.572426225141092,0.780196445446358
"RAMP2",-0.0909407665505227,0.571753504765407,0.779584532337132
"TMEM44",-0.0909407665505227,0.571753504765407,0.779584532337132
"ASB3",-0.0909447276440869,0.571736686625984,0.779584532337132
"FITM1",-0.0909872487653607,0.571556163309363,0.779485428391155
"SLC6A11",-0.0910130061874364,0.571446822908275,0.779392973021399
"ADD3",-0.0911149825783972,0.571014026451105,0.778915948385419
"ARMCX3",-0.0911149825783972,0.571014026451105,0.778915948385419
"ANKRD55",-0.0911627304408966,0.570811432026293,0.778866137138583
"ACOD1",-0.0912785289986648,0.570320234823073,0.778365753731977
"LRRK2",-0.0912891986062718,0.570274985958193,0.778360627298438
"RTCA",-0.0912891986062718,0.570274985958193,0.778360627298438
"ZNF354A",-0.0912891986062718,0.570274985958193,0.778360627298438
"SYT2",-0.0914470183875418,0.56960587830567,0.777786917392347
"C9orf64",-0.0914634146341464,0.569536383877884,0.777748636905091
"FIS1",-0.0914634146341464,0.569536383877884,0.777748636905091
"HLA-B",-0.0914634146341464,0.569536383877884,0.777748636905091
"CT47A12",-0.0914779518298807,0.569474772168764,0.777748636905091
"TGFBR3L",-0.0914779518298807,0.569474772168764,0.777748636905091
"TTLL9",-0.0915190428449353,0.569300636293215,0.777748636905091
"SLC6A14",-0.0915201470406572,0.569295957259653,0.777748636905091
"OPRD1",-0.0915539279446374,0.569152819077881,0.777748636905091
"PPP2R2D",-0.0916376306620209,0.568798220800116,0.777363093690032
"TELO2",-0.0916376306620209,0.568798220800116,0.777363093690032
"ZCCHC2",-0.0916376306620209,0.568798220800116,0.777363093690032
"HRC",-0.091677568615829,0.568629063367023,0.777363093690032
"SEC24A",-0.0918118466898955,0.568060497313544,0.776864246490106
"TRPM3",-0.0919094771793739,0.567647270220936,0.776412332633944
"BAALC",-0.09198606271777,0.567323214005545,0.776025679709057
"ESM1",-0.09198606271777,0.567323214005545,0.776025679709057
"RMI1",-0.09198606271777,0.567323214005545,0.776025679709057
"MKX",-0.0920536564258893,0.567037275663208,0.775917445048226
"NANOS3",-0.0921199617398316,0.566756852049809,0.775703472027022
"NHLH2",-0.0921199617398316,0.566756852049809,0.775703472027022
"WNT2",-0.0921602787456446,0.566586371462209,0.775583314525655
"ZC4H2",-0.0921602787456446,0.566586371462209,0.775583314525655
"ENTHD1",-0.0922370268008993,0.5662619073957,0.775365483272695
"LRRC10B",-0.0922875904602309,0.566048188670252,0.775129423407931
"SLC2A12",-0.0923010890321077,0.56599114020052,0.775107884291251
"RAB15",-0.0923344947735192,0.565849970268348,0.774971131799952
"TP53",-0.0923344947735192,0.565849970268348,0.774971131799952
"OR10A6",-0.0923983573771365,0.56558013735387,0.774884443223871
"CEP97",-0.0925087108013938,0.565114011007484,0.774415496565812
"STAT1",-0.0925087108013938,0.565114011007484,0.774415496565812
"VRK1",-0.0925087108013938,0.565114011007484,0.774415496565812
"C16orf89",-0.0925285167777541,0.56503037052174,0.774415496565812
"C3orf33",-0.0926829268292683,0.564378494261857,0.773916386977937
"DCAF6",-0.0926829268292683,0.564378494261857,0.773916386977937
"NRAP",-0.0927016128949142,0.564299630495699,0.773916386977937
"ANO2",-0.0927413462550494,0.564131954441669,0.773861157833365
"IZUMO4",-0.0927615975694352,0.564046502116134,0.773800521661296
"RERGL",-0.092824743189973,0.563780091698915,0.773491606829514
"IFIH1",-0.0928571428571429,0.563643420612416,0.773360658811316
"MAPKAPK3",-0.0928571428571429,0.563643420612416,0.773360658811316
"NPEPL1",-0.0928571428571429,0.563643420612416,0.773360658811316
"GABPB2",-0.0930313588850174,0.562908790638823,0.772918021050629
"KANK2",-0.0930313588850174,0.562908790638823,0.772918021050629
"LHX6",-0.0930313588850174,0.562908790638823,0.772918021050629
"RFXANK",-0.0930313588850174,0.562908790638823,0.772918021050629
"GPR173",-0.093122522846292,0.562524549652336,0.772616636910834
"RASSF8",-0.093205574912892,0.562174604919453,0.772192532304607
"TXNDC15",-0.093205574912892,0.562174604919453,0.772192532304607
"RIMBP2",-0.0932714406986103,0.561897147459664,0.772094095311737
"OR10V1",-0.0933316741183197,0.561643471842716,0.771802057599994
"FAM72A",-0.0933797909407666,0.561440864031384,0.771580158854559
"GYPC",-0.0933797909407666,0.561440864031384,0.771580158854559
"MYL2",-0.0935035558000523,0.560919877524439,0.771485884777546
